USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root       398  0.0  0.0      0     0 ?        I    14:43   0:00  \_ [kworker/u16:9-kcryptd/254:1]
root       401  0.0  0.0      0     0 ?        I<   14:43   0:01  \_ [kworker/u17:2-i915_flip]
root       405  0.0  0.0      0     0 ?        S    14:43   0:00  \_ [jbd2/dm-1-8]
root       406  0.0  0.0      0     0 ?        I<   14:43   0:00  \_ [ext4-rsv-conver]
root       942  0.0  0.0      0     0 ?        I<   14:44   0:00  \_ [cfg80211]
root      1623  0.0  0.0      0     0 ?        S<   14:44   0:00  \_ [loop2]
root      2295  0.0  0.0      0     0 ?        I<   14:44   0:00  \_ [intel_gna0]
root      2302  0.0  0.0      0     0 ?        S    14:44   0:00  \_ [irq/144-mei_me]
root      2306  0.0  0.0      0     0 ?        S    14:44   0:01  \_ [irq/145-iwlwifi]
root      2307  0.0  0.0      0     0 ?        S    14:44   0:01  \_ [irq/146-iwlwifi]
root      2308  0.0  0.0      0     0 ?        S    14:44   0:00  \_ [irq/147-iwlwifi]
root      2311  0.0  0.0      0     0 ?        S    14:44   0:00  \_ [irq/148-iwlwifi]
root      2312  0.0  0.0      0     0 ?        S    14:44   0:00  \_ [irq/149-iwlwifi]
root      2313  0.0  0.0      0     0 ?        S    14:44   0:00  \_ [irq/150-iwlwifi]
root      2314  0.0  0.0      0     0 ?        S    14:44   0:00  \_ [irq/151-iwlwifi]
root      2315  0.0  0.0      0     0 ?        S    14:44   0:00  \_ [irq/152-iwlwifi]
root      2316  0.0  0.0      0     0 ?        S    14:44   0:00  \_ [irq/153-iwlwifi]
root      2317  0.0  0.0      0     0 ?        S    14:44   0:00  \_ [irq/154-iwlwifi]
root      2428  0.0  0.0      0     0 ?        S    14:44   0:00  \_ [irq/157-AudioDS]
root      2603  0.0  0.0      0     0 ?        S    14:44   0:00  \_ [irq/143-rt5682]
root      2763  0.0  0.0      0     0 ?        S<   14:44   0:00  \_ [loop3]
root      3404  0.0  0.0      0     0 ?        I<   14:44   0:01  \_ [kworker/u17:3-fscrypt_read_queue]
root      3489  0.0  0.0      0     0 ?        S<   14:44   0:00  \_ [krfcommd]
root      9742  0.0  0.0      0     0 ?        I    14:54   0:00  \_ [kworker/4:0-mm_percpu_wq]
root     10510  0.0  0.0      0     0 ?        I    14:54   0:00  \_ [kworker/1:34-rcu_gp]
root     10688  0.0  0.0      0     0 ?        S    14:54   0:00  \_ [kvm-nx-lpage-re]
root     10696  0.0  0.0      0     0 ?        S    14:54   0:00  \_ [kvm-pit/582]
root     10712  0.1  0.0      0     0 ?        S    14:54   0:02  \_ [vhost-10711]
root     11246  0.0  0.0      0     0 ?        I    14:54   0:00  \_ [kworker/u16:0-kcryptd/254:1]
root     11247  0.0  0.0      0     0 ?        I    14:54   0:00  \_ [kworker/u16:3-kcryptd/254:1]
root     11926  0.0  0.0      0     0 ?        I    14:55   0:00  \_ [kworker/u16:5-kcryptd/254:1]
root     12107  0.0  0.0      0     0 ?        S<   14:55   0:00  \_ [loop4]
root     12111  0.0  0.0      0     0 ?        I<   14:55   0:00  \_ [kdmflush]
root     12112  0.0  0.0      0     0 ?        I<   14:55   0:00  \_ [kverityd]
root     18067  0.0  0.0      0     0 ?        I    15:11   0:00  \_ [kworker/1:0-events]
root     18289  0.0  0.0      0     0 ?        I    15:12   0:00  \_ [kworker/6:1-events]
root     18291  0.0  0.0      0     0 ?        I    15:12   0:00  \_ [kworker/2:3-mm_percpu_wq]
root     18299  0.0  0.0      0     0 ?        I    15:12   0:00  \_ [kworker/3:4-mm_percpu_wq]
root     18322  0.0  0.0      0     0 ?        I    15:12   0:00  \_ [kworker/7:18-events]
root     18323  0.0  0.0      0     0 ?        I    15:12   0:00  \_ [kworker/7:19-events]
root     18324  0.0  0.0      0     0 ?        I    15:12   0:00  \_ [kworker/5:4-events]
root     18352  0.0  0.0      0     0 ?        I    15:12   0:00  \_ [kworker/0:15-events]
root     18556  0.0  0.0      0     0 ?        I    15:13   0:00  \_ [kworker/u16:4-events_unbound]
root     19196  0.0  0.0      0     0 ?        I<   15:15   0:00  \_ [kworker/u17:0-fscrypt_read_queue]
root     19576  0.0  0.0      0     0 ?        I    15:17   0:00  \_ [kworker/5:0-mm_percpu_wq]
root     19599  0.0  0.0      0     0 ?        I    15:17   0:00  \_ [kworker/2:0-events]
root     19765  0.0  0.0      0     0 ?        S    15:17   0:00  \_ [kvm-nx-lpage-re]
root     19769  0.0  0.0      0     0 ?        S    15:17   0:00  \_ [kvm-pit/4465]
root     19784  0.0  0.0      0     0 ?        S    15:17   0:00  \_ [vhost-19779]
root     19812  0.0  0.0      0     0 ?        I    15:17   0:00  \_ [kworker/0:0-events_power_efficient]
root     19959  0.0  0.0      0     0 ?        I<   15:18   0:00  \_ [kworker/u17:4-i915_flip]
root     20062  0.0  0.0      0     0 ?        I    15:18   0:00  \_ [kworker/4:2]
root     20397  0.0  0.0      0     0 ?        I    15:19   0:00  \_ [kworker/3:0-mm_percpu_wq]
root     21972  0.0  0.0      0     0 ?        I    15:24   0:00  \_ [kworker/6:2-events]
root     22108  0.0  0.0      0     0 ?        I    15:24   0:00  \_ [kworker/5:1-mm_percpu_wq]
root     22130  0.0  0.0      0     0 ?        I    15:24   0:00  \_ [kworker/0:1-events_power_efficient]
root     22368  0.0  0.0      0     0 ?        I    15:25   0:00  \_ [kworker/3:1-mm_percpu_wq]
root     22623  0.0  0.0      0     0 ?        I    15:26   0:00  \_ [kworker/2:1-mm_percpu_wq]
root     22841  0.0  0.0      0     0 ?        I    15:27   0:00  \_ [kworker/u16:1-kcryptd/254:1]
root     22842  0.0  0.0      0     0 ?        I    15:27   0:00  \_ [kworker/u16:2-events_unbound]
root     22843  0.0  0.0      0     0 ?        I    15:27   0:00  \_ [kworker/u16:6-kcryptd/254:1]
root     22844  0.0  0.0      0     0 ?        I    15:27   0:00  \_ [kworker/u16:7-kcryptd/254:1]
root     23422  0.0  0.0      0     0 ?        I    15:29   0:00  \_ [kworker/6:0]
root         1  0.0  0.0   5880  4972 ?        Ss   14:43   0:00 /sbin/init
root       214  0.0  0.0   6552  3648 ?        Ss   14:43   0:01 udevd --daemon
root       346  0.0  0.0   8548  6596 ?        Ss   14:43   0:00 frecon --daemon --clear 0xfffefefe --frame-interval 25 --dev-mode --enable-osc --enable-vts --pre-create-vts --imag
root       348  0.0  0.0      0     0 ?        Zs   14:43   0:00  \_ [frecon] <defunct>
root       349  0.0  0.0   2284   944 pts/1    Ss+  14:43   0:00  \_ /sbin/agetty - 9600 xterm
root       350  0.0  0.0   2284   940 pts/2    Ss+  14:43   0:00  \_ /sbin/agetty - 9600 xterm
root       351  0.0  0.0   2284   876 pts/3    Ss+  14:43   0:00  \_ /sbin/agetty - 9600 xterm
root       504  0.0  0.0   2332  1764 ttyS0    Ss+  14:43   0:00 agetty 115200 ttyS0 linux
root       549  0.0  0.0  10968  2100 ?        S<sl 14:43   0:00 /sbin/auditd -n -c /etc/audit
syslog     637  0.0  0.0 356484  3316 ?        Sl   14:43   0:00 /usr/sbin/rsyslogd -n -f /etc/rsyslog.chromeos -i /tmp/rsyslogd.pid
message+   735  0.2  0.0   5268  3772 ?        Ss   14:43   0:05 dbus-daemon --system --fork
spaced     846  0.0  0.1  16744  8820 ?        S    14:44   0:00 /usr/sbin/spaced
root       848  0.0  0.0   2612   240 ?        S    14:44   0:00 minijail0 -i -u iioservice -g iioservice -N --uts -e -p -P /mnt/empty -b / -b /sys -k tmpfs /run tmpfs MS_NOSUID MS
iioserv+   851  0.0  0.1  90960 10848 ?        Sl   14:44   0:00  \_ /usr/sbin/iioservice
root       855  0.0  0.0   2612   240 ?        S    14:44   0:00 minijail0 -i -u pciguard -g pciguard -c 2 -l -N -p --uts -n -v --profile minimalistic-mountns -b /dev/log -k tmpfs 
